"","DAUID","X","Y","CDUID","CDNAME","CDTYPE","CCSUID","CCSNAME","CSDUID","CSDNAME","CSDTYPE","ERUID","ERNAME","SACCODE","SACTYPE","CMAUID","CMAPUID","CMANAME","CMATYPE","CTUID","CTNAME","ADAUID","Pop","Income","Dwellval","Dwellings","Owners","comm_struc","sector","name","class","Evacuated","DN","percedu","In200m","In400m","Distance_m","Elevation","prop65p","med_age","age2544","age4564","age65.","phigh","percown","incomecat","vlrisk","E"
"1",48060056,4687355.051,1932908.758,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.14,76.14,48060045,495,140920,428112,165,155,"1980s/1990s","NORTH","SANDSTONE VALLEY","Residential","No",1,55.1724138,0,0,991.9374766,115.476731,0.1,39.1,35.38461538,58.46153846,6.153846154,26.43678161,93.9393939393939,15,0,0
"2",48060057,4687683.998,1933009.41,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.14,76.14,48060045,355,127523,384998,125,105,"1980s/1990s","NORTH","SANDSTONE VALLEY","Residential","No",1,49.2307692,0,0,661.589716,101.617421,0.192771084,37.8,38.88888889,50,11.11111111,24.61538462,84,13,0,0
"3",48060058,4687424.343,1932641.47,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.14,76.14,48060045,565,108041,391077,195,195,"1980s/1990s","NORTH","SANDSTONE VALLEY","Residential","No",1,68.4782609,0,0,1057.822015,116.149107,0.223214286,40,34.61538462,51.28205128,14.1025641,19.56521739,100,11,0,0
"4",48060059,4687849.784,1932841.99,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.14,76.14,48060045,375,127624,375641,150,120,"1980s/1990s","NORTH","SANDSTONE VALLEY","Residential","No",1,73.4375,0,0,607.118551,98.387637,0.293333333,47.2,28.57142857,53.57142857,17.85714286,20.3125,80,13,0,0
"5",48060060,4688017.757,1932815.77,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.14,76.14,48060045,700,128925,449104,215,205,"1980s/1990s","NORTH","SANDSTONE VALLEY","Residential","No",1,37.8151261,1,1,442.5088444,92.6144999999999,0.207142857,46.6,23.95833333,59.375,16.66666667,44.53781513,95.3488372093023,13,0,0
"6",48060061,4687969.599,1932201.193,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.15,76.15,48060045,465,88339,298893,175,130,"1960s/1970s","NORTH","BEDDINGTON HEIGHTS","Residential","No",1,50.7042254,0,0,693.6504039,106.183372,0.215053763,34.5,50,39.0625,10.9375,29.57746479,74.2857142857143,9,0,0
"7",48060062,4687959.52,1931833.443,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.06,76.06,48060048,625,89194,328552,230,190,"1960s/1970s","NORTH","BEDDINGTON HEIGHTS","Residential","No",1,56.122449,0,0,911.6206917,113.387778,0.176,36.6,43.67816092,45.97701149,10.34482759,28.57142857,82.6086956521739,9,0,0
"8",48060063,4687878.458,1931568.957,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.06,76.06,48060048,715,74124,301845,250,85,"1960s/1970s","NORTH","BEDDINGTON HEIGHTS","Residential","No",1,48.6238532,0,0,1162.80102,120.22911,0.174825175,32,49.42528736,39.08045977,11.49425287,29.35779817,34,8,0,0
"9",48060064,4688230.354,1931433.825,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.06,76.06,48060048,535,82866,291169,185,135,"1960s/1970s","NORTH","BEDDINGTON HEIGHTS","Residential","No",1,47.311828,0,0,936.1258489,114.596361,0.176470588,33.7,50,39.0625,10.9375,26.88172043,72.972972972973,9,0,0
"10",48060065,4688070.619,1931244.19,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.06,76.06,48060048,400,113324,423183,140,135,"1960s/1970s","NORTH","BEDDINGTON HEIGHTS","Residential","No",1,61.6438356,0,0,1169.523897,121.396771,0.316455696,44.2,36.06557377,44.26229508,19.67213115,24.65753425,96.4285714285714,12,0,0
"11",48060066,4688076.159,1931009.14,4806,"Division No.  6","CDR",4806016,"Calgary",4806016,"Calgary","CY",4830,"Calgary",825,1,825,48825,"Calgary","B",8250076.05,76.05,48060053,590,132758,394325,215,195,"1960s/1970s","NORTH","HUNTINGTON HILLS","Residential","No",1,63.2653061,0,0,1306.19909,115.527231,0.358974359,43.7,33.72093023,45.34883721,20.93023256,22.44897959,90.6976744186046,14,0,0
